code,description
M10,Gout
M100,Idiopathic gout
M1001,"Idiopathic gout, shoulder"
M1002,"Idiopathic gout, elbow"
M1003,"Idiopathic gout, wrist"
M1004,"Idiopathic gout, hand"
M1005,"Idiopathic gout, hip"
M1006,"Idiopathic gout, knee"
M1007,"Idiopathic gout, ankle and foot"
M101,Lead-induced gout
M1011,"Lead-induced gout, shoulder"
M1012,"Lead-induced gout, elbow"
M1013,"Lead-induced gout, wrist"
M1014,"Lead-induced gout, hand"
M1015,"Lead-induced gout, hip"
M1016,"Lead-induced gout, knee"
M1017,"Lead-induced gout, ankle and foot"
M102,Drug-induced gout
M1021,"Drug-induced gout, shoulder"
M1022,"Drug-induced gout, elbow"
M1023,"Drug-induced gout, wrist"
M1024,"Drug-induced gout, hand"
M1025,"Drug-induced gout, hip"
M1026,"Drug-induced gout, knee"
M1027,"Drug-induced gout, ankle and foot"
M103,Gout due to renal impairment
M1031,"Gout due to renal impairment, shoulder"
M1032,"Gout due to renal impairment, elbow"
M1033,"Gout due to renal impairment, wrist"
M1034,"Gout due to renal impairment, hand"
M1035,"Gout due to renal impairment, hip"
M1036,"Gout due to renal impairment, knee"
M1037,"Gout due to renal impairment, ankle and foot"
M104,Other secondary gout
M1041,"Other secondary gout, shoulder"
M1042,"Other secondary gout, elbow"
M1043,"Other secondary gout, wrist"
M1044,"Other secondary gout, hand"
M1045,"Other secondary gout, hip"
M1046,"Other secondary gout, knee"
M1047,"Other secondary gout, ankle and foot"
M11,Other crystal arthropathies
M110,Hydroxyapatite deposition disease
M1101,"Hydroxyapatite deposition disease, shoulder"
M1102,"Hydroxyapatite deposition disease, elbow"
M1103,"Hydroxyapatite deposition disease, wrist"
M1104,"Hydroxyapatite deposition disease, hand"
M1105,"Hydroxyapatite deposition disease, hip"
M1106,"Hydroxyapatite deposition disease, knee"
M1107,"Hydroxyapatite deposition disease, ankle and foot"
M111,Familial chondrocalcinosis
M1111,"Familial chondrocalcinosis, shoulder"
M1112,"Familial chondrocalcinosis, elbow"
M1113,"Familial chondrocalcinosis, wrist"
M1114,"Familial chondrocalcinosis, hand"
M1115,"Familial chondrocalcinosis, hip"
M1116,"Familial chondrocalcinosis, knee"
M1117,"Familial chondrocalcinosis, ankle and foot"
M112,Other chondrocalcinosis
M1121,"Other chondrocalcinosis, shoulder"
M1122,"Other chondrocalcinosis, elbow"
M1123,"Other chondrocalcinosis, wrist"
M1124,"Other chondrocalcinosis, hand"
M1125,"Other chondrocalcinosis, hip"
M1126,"Other chondrocalcinosis, knee"
M1127,"Other chondrocalcinosis, ankle and foot"
M118,Other specified crystal arthropathies
M1181,"Other specified crystal arthropathies, shoulder"
M1182,"Other specified crystal arthropathies, elbow"
M1183,"Other specified crystal arthropathies, wrist"
M1184,"Other specified crystal arthropathies, hand"
M1185,"Other specified crystal arthropathies, hip"
M1186,"Other specified crystal arthropathies, knee"
M1187,"Other specified crystal arthropathies, ankle and foot"
M12,Other and unspecified arthropathy
M120,Chronic postrheumatic arthropathy [Jaccoud]
M1201,"Chronic postrheumatic arthropathy [Jaccoud], shoulder"
M1202,"Chronic postrheumatic arthropathy [Jaccoud], elbow"
M1203,"Chronic postrheumatic arthropathy [Jaccoud], wrist"
M1204,"Chronic postrheumatic arthropathy [Jaccoud], hand"
M1205,"Chronic postrheumatic arthropathy [Jaccoud], hip"
M1206,"Chronic postrheumatic arthropathy [Jaccoud], knee"
M1207,"Chronic postrheumatic arthropathy [Jaccoud], ankle and foot"
M121,Kaschin-Beck disease
M1211,"Kaschin-Beck disease, shoulder"
M1212,"Kaschin-Beck disease, elbow"
M1213,"Kaschin-Beck disease, wrist"
M1214,"Kaschin-Beck disease, hand"
M1215,"Kaschin-Beck disease, hip"
M1216,"Kaschin-Beck disease, knee"
M1217,"Kaschin-Beck disease, ankle and foot"
M122,Villonodular synovitis (pigmented)
M1221,"Villonodular synovitis (pigmented), shoulder"
M1222,"Villonodular synovitis (pigmented), elbow"
M1223,"Villonodular synovitis (pigmented), wrist"
M1224,"Villonodular synovitis (pigmented), hand"
M1225,"Villonodular synovitis (pigmented), hip"
M1226,"Villonodular synovitis (pigmented), knee"
M1227,"Villonodular synovitis (pigmented), ankle and foot"
M123,Palindromic rheumatism
M1231,"Palindromic rheumatism, shoulder"
M1232,"Palindromic rheumatism, elbow"
M1233,"Palindromic rheumatism, wrist"
M1234,"Palindromic rheumatism, hand"
M1235,"Palindromic rheumatism, hip"
M1236,"Palindromic rheumatism, knee"
M1237,"Palindromic rheumatism, ankle and foot"
M124,Intermittent hydrarthrosis
M1241,"Intermittent hydrarthrosis, shoulder"
M1242,"Intermittent hydrarthrosis, elbow"
M1243,"Intermittent hydrarthrosis, wrist"
M1244,"Intermittent hydrarthrosis, hand"
M1245,"Intermittent hydrarthrosis, hip"
M1246,"Intermittent hydrarthrosis, knee"
M1247,"Intermittent hydrarthrosis, ankle and foot"
M125,Traumatic arthropathy
M1251,"Traumatic arthropathy, shoulder"
M1252,"Traumatic arthropathy, elbow"
M1253,"Traumatic arthropathy, wrist"
M1254,"Traumatic arthropathy, hand"
M1255,"Traumatic arthropathy, hip"
M1256,"Traumatic arthropathy, knee"
M1257,"Traumatic arthropathy, ankle and foot"
M128,"Other specific arthropathies, not elsewhere classified"
M1281,"Oth specific arthropathies, NEC, shoulder"
M1282,"Oth specific arthropathies, not elsewhere classified, elbow"
M1283,"Oth specific arthropathies, not elsewhere classified, wrist"
M1284,"Other specific arthropathies, not elsewhere classified, hand"
M1285,"Other specific arthropathies, not elsewhere classified, hip"
M1286,"Other specific arthropathies, not elsewhere classified, knee"
M1287,"Oth specific arthropathies, NEC, ankle and foot"
M13,Other arthritis
M131,"Monoarthritis, not elsewhere classified"
M1311,"Monoarthritis, not elsewhere classified, shoulder"
M1312,"Monoarthritis, not elsewhere classified, elbow"
M1313,"Monoarthritis, not elsewhere classified, wrist"
M1314,"Monoarthritis, not elsewhere classified, hand"
M1315,"Monoarthritis, not elsewhere classified, hip"
M1316,"Monoarthritis, not elsewhere classified, knee"
M1317,"Monoarthritis, not elsewhere classified, ankle and foot"
M138,Other specified arthritis
M1381,"Other specified arthritis, shoulder"
M1382,"Other specified arthritis, elbow"
M1383,"Other specified arthritis, wrist"
M1384,"Other specified arthritis, hand"
M1385,"Other specified arthritis, hip"
M1386,"Other specified arthritis, knee"
M1387,"Other specified arthritis, ankle and foot"
M14,Arthropathies in other diseases classified elsewhere
M146,Charcot's joint
M1461,"Charcot's joint, shoulder"
M1462,"Charcot's joint, elbow"
M1463,"Charcot's joint, wrist"
M1464,"Charcot's joint, hand"
M1465,"Charcot's joint, hip"
M1466,"Charcot's joint, knee"
M1467,"Charcot's joint, ankle and foot"
M148,Arthropathies in oth diseases classified elsewhere
M1481,"Arthropathies in oth diseases classified elsewhere, shoulder"
M1482,"Arthropathies in oth diseases classified elsewhere, elbow"
M1483,"Arthropathies in oth diseases classified elsewhere, wrist"
M1484,"Arthropathies in oth diseases classified elsewhere, hand"
M1485,"Arthropathies in oth diseases classified elsewhere, hip"
M1486,"Arthropathies in oth diseases classified elsewhere, knee"
M1487,"Arthropathies in oth diseases classd elswhr, ankle and foot"
M15,Polyosteoarthritis
M16,Osteoarthritis of hip
M161,Unilateral primary osteoarthritis of hip
M163,Unilateral osteoarthritis resulting from hip dysplasia
M165,Unilateral post-traumatic osteoarthritis of hip
M17,Osteoarthritis of knee
M171,Unilateral primary osteoarthritis of knee
M173,Unilateral post-traumatic osteoarthritis of knee
M18,Osteoarthritis of first carpometacarpal joint
M181,Unilateral primary osteoarth of first carpometacarp joint
M183,Unil post-trauma osteoarth of first carpometacarp joint
M185,Oth unil secondary osteoarth of first carpometacarp joint
M19,Other and unspecified osteoarthritis
M190,Primary osteoarthritis of other joints
M1901,"Primary osteoarthritis, shoulder"
M1902,"Primary osteoarthritis, elbow"
M1903,"Primary osteoarthritis, wrist"
M1904,"Primary osteoarthritis, hand"
M1907,Primary osteoarthritis ankle and foot
M191,Post-traumatic osteoarthritis of other joints
M1911,"Post-traumatic osteoarthritis, shoulder"
M1912,"Post-traumatic osteoarthritis, elbow"
M1913,"Post-traumatic osteoarthritis, wrist"
M1914,"Post-traumatic osteoarthritis, hand"
M1917,"Post-traumatic osteoarthritis, ankle and foot"
M192,Secondary osteoarthritis of other joints
M1921,"Secondary osteoarthritis, shoulder"
M1922,"Secondary osteoarthritis, elbow"
M1923,"Secondary osteoarthritis, wrist"
M1924,"Secondary osteoarthritis, hand"
M1927,"Secondary osteoarthritis, ankle and foot"
M199,"Osteoarthritis, unspecified site"
M20,Acquired deformities of fingers and toes
M200,Deformity of finger(s)
M2000,Unspecified deformity of finger(s)
M2001,Mallet finger
M2002,Boutonniere deformity
M2003,Swan-neck deformity
M2009,Other deformity of finger(s)
M201,Hallux valgus (acquired)
M202,Hallux rigidus
M203,Hallux varus (acquired)
M204,Other hammer toe(s) (acquired)
M205,Other deformities of toe(s) (acquired)
M205X,Other deformities of toe(s) (acquired)
M206,"Acquired deformities of toe(s), unspecified"
M21,Other acquired deformities of limbs
M210,"Valgus deformity, not elsewhere classified"
M2102,"Valgus deformity, not elsewhere classified, elbow"
M2105,"Valgus deformity, not elsewhere classified, hip"
M2106,"Valgus deformity, not elsewhere classified, knee"
M2107,"Valgus deformity, not elsewhere classified, ankle"
M211,"Varus deformity, not elsewhere classified"
M2112,"Varus deformity, not elsewhere classified, elbow"
M2115,"Varus deformity, not elsewhere classified, hip"
M2116,"Varus deformity, not elsewhere classified, knee"
M2117,"Varus deformity, not elsewhere classified, ankle"
M212,Flexion deformity
M2121,"Flexion deformity, shoulder"
M2122,"Flexion deformity, elbow"
M2123,"Flexion deformity, wrist"
M2124,"Flexion deformity, finger joints"
M2125,"Flexion deformity, hip"
M2126,"Flexion deformity, knee"
M2127,"Flexion deformity, ankle and toes"
M213,Wrist or foot drop (acquired)
M2133,Wrist drop (acquired)
M2137,Foot drop (acquired)
M214,Flat foot [pes planus] (acquired)
M215,"Acquired clawhand, clubhand, clawfoot and clubfoot"
M2151,Acquired clawhand
M2152,Acquired clubhand
M2153,Acquired clawfoot
M2154,Acquired clubfoot
M216,Other acquired deformities of foot
M2161,Bunion
M2162,Bunionette
M216X,Other acquired deformities of foot
M217,Unequal limb length (acquired)
M2172,"Unequal limb length (acquired), humerus"
M2173,"Unequal limb length (acquired), ulna and radius"
M2175,"Unequal limb length (acquired), femur"
M2176,"Unequal limb length (acquired), tibia and fibula"
M218,Other specified acquired deformities of limbs
M2182,Other specified acquired deformities of upper arm
M2183,Other specified acquired deformities of forearm
M2185,Other specified acquired deformities of thigh
M2186,Other specified acquired deformities of lower leg
M219,Unspecified acquired deformity of limb and hand
M2192,Unspecified acquired deformity of upper arm
M2193,Unspecified acquired deformity of forearm
M2194,Unspecified acquired deformity of hand
M2195,Unspecified acquired deformity of thigh
M2196,Unspecified acquired deformity of lower leg
M22,Disorder of patella
M220,Recurrent dislocation of patella
M221,Recurrent subluxation of patella
M222,Patellofemoral disorders
M222X,Patellofemoral disorders
M223,Other derangements of patella
M223X,Other derangements of patella
M224,Chondromalacia patellae
M228,Other disorders of patella
M228X,Other disorders of patella
M229,Unspecified disorder of patella
M23,Internal derangement of knee
M230,Cystic meniscus
M2300,"Cystic meniscus, unspecified meniscus"
M2301,"Cystic meniscus, anterior horn of medial meniscus"
M2302,"Cystic meniscus, posterior horn of medial meniscus"
M2303,"Cystic meniscus, other medial meniscus"
M2304,"Cystic meniscus, anterior horn of lateral meniscus"
M2305,"Cystic meniscus, posterior horn of lateral meniscus"
M2306,"Cystic meniscus, other lateral meniscus"
M232,Derangement of meniscus due to old tear or injury
M2320,Derangement of unsp meniscus due to old tear or injury
M2321,Derang of ant horn of medial meniscus due to old tear/inj
M2322,Derang of post horn of medial meniscus due to old tear/inj
M2323,Derangement of oth medial meniscus due to old tear or injury
M2324,Derang of anterior horn of lat mensc due to old tear/inj
M2325,Derang of posterior horn of lat mensc due to old tear/inj
M2326,Derangement of lateral meniscus due to old tear or injury
M233,Other meniscus derangements
M2330,"Other meniscus derangements, unspecified meniscus"
M2331,"Oth meniscus derangements, anterior horn of medial meniscus"
M2332,"Oth meniscus derangements, posterior horn of medial meniscus"
M2333,"Other meniscus derangements, other medial meniscus"
M2334,"Oth meniscus derangements, anterior horn of lateral meniscus"
M2335,"Oth meniscus derangements, posterior horn of lat mensc"
M2336,"Other meniscus derangements, other lateral meniscus"
M234,Loose body in knee
M235,Chronic instability of knee
M236,Other spontaneous disruption of ligament(s) of knee
M2360,Other spontaneous disruption of unspecified ligament of knee
M2361,Oth spon disruption of anterior cruciate ligament of knee
M2362,Oth spon disruption of posterior cruciate ligament of knee
M2363,Oth spon disruption of medial collateral ligament of knee
M2364,Oth spon disruption of lateral collateral ligament of knee
M2367,Other spontaneous disruption of capsular ligament of knee
M238,Other internal derangements of knee
M238X,Other internal derangements of knee
M239,Unspecified internal derangement of knee
M24,Other specific joint derangements
M240,Loose body in joint
M2401,Loose body in shoulder
M2402,Loose body in elbow
M2403,Loose body in wrist
M2404,Loose body in finger joints
M2405,Loose body in hip
M2407,Loose body in ankle and toe joints
M241,Other articular cartilage disorders
M2411,"Other articular cartilage disorders, shoulder"
M2412,"Other articular cartilage disorders, elbow"
M2413,"Other articular cartilage disorders, wrist"
M2414,"Other articular cartilage disorders, hand"
M2415,"Other articular cartilage disorders, hip"
M2417,"Other articular cartilage disorders, ankle and foot"
M242,Disorder of ligament
M2421,"Disorder of ligament, shoulder"
M2422,"Disorder of ligament, elbow"
M2423,"Disorder of ligament, wrist"
M2424,"Disorder of ligament, hand"
M2425,"Disorder of ligament, hip"
M2427,"Disorder of ligament, ankle and foot"
M243,"Pathological dislocation of joint, not elsewhere classified"
M2431,"Pathological dislocation of shoulder, NEC"
M2432,"Pathological dislocation of elbow, not elsewhere classified"
M2433,"Pathological dislocation of wrist, not elsewhere classified"
M2434,"Pathological dislocation of hand, not elsewhere classified"
M2435,"Pathological dislocation of hip, not elsewhere classified"
M2436,"Pathological dislocation of knee, not elsewhere classified"
M2437,"Pathological dislocation of ankle and foot, NEC"
M244,Recurrent dislocation of joint
M2441,"Recurrent dislocation, shoulder"
M2442,"Recurrent dislocation, elbow"
M2443,"Recurrent dislocation, wrist"
M2444,"Recurrent dislocation, hand and finger(s)"
M2445,"Recurrent dislocation, hip"
M2446,"Recurrent dislocation, knee"
M2447,"Recurrent dislocation, ankle, foot and toes"
M245,Contracture of joint
M2451,"Contracture, shoulder"
M2452,"Contracture, elbow"
M2453,"Contracture, wrist"
M2454,"Contracture, hand"
M2455,"Contracture, hip"
M2456,"Contracture, knee"
M2457,"Contracture, ankle and foot"
M246,Ankylosis of joint
M2461,"Ankylosis, shoulder"
M2462,"Ankylosis, elbow"
M2463,"Ankylosis, wrist"
M2464,"Ankylosis, hand"
M2465,"Ankylosis, hip"
M2466,"Ankylosis, knee"
M2467,"Ankylosis, ankle and foot"
M248,"Other specific joint derangements, not elsewhere classified"
M2481,"Oth specific joint derangements of shoulder, NEC"
M2482,"Oth specific joint derangements of elbow, NEC"
M2483,"Oth specific joint derangements of wrist, NEC"
M2484,"Oth specific joint derangements of hand, NEC"
M2485,"Oth specific joint derangements of hip, NEC"
M2487,"Oth specific joint derangements of ankle and foot, NEC"
M25,"Other joint disorder, not elsewhere classified"
M250,Hemarthrosis
M2501,"Hemarthrosis, shoulder"
M2502,"Hemarthrosis, elbow"
M2503,"Hemarthrosis, wrist"
M2504,"Hemarthrosis, hand"
M2505,"Hemarthrosis, hip"
M2506,"Hemarthrosis, knee"
M2507,"Hemarthrosis, ankle and foot"
M251,Fistula of joint
M2511,"Fistula, shoulder"
M2512,"Fistula, elbow"
M2513,"Fistula, wrist"
M2514,"Fistula, hand"
M2515,"Fistula, hip"
M2516,"Fistula, knee"
M2517,"Fistula, ankle and foot"
M252,Flail joint
M2521,"Flail joint, shoulder"
M2522,"Flail joint, elbow"
M2523,"Flail joint, wrist"
M2524,"Flail joint, hand"
M2525,"Flail joint, hip"
M2526,"Flail joint, knee"
M2527,"Flail joint, ankle and foot"
M253,Other instability of joint
M2531,"Other instability, shoulder"
M2532,"Other instability, elbow"
M2533,"Other instability, wrist"
M2534,"Other instability, hand"
M2535,"Other instability, hip"
M2536,"Other instability, knee"
M2537,"Other instability, ankle and foot"
M254,Effusion of joint
M2541,"Effusion, shoulder"
M2542,"Effusion, elbow"
M2543,"Effusion, wrist"
M2544,"Effusion, hand"
M2545,"Effusion, hip"
M2546,"Effusion, knee"
M2547,"Effusion, ankle and foot"
M255,Pain in joint
M2551,Pain in shoulder
M2552,Pain in elbow
M2553,Pain in wrist
M2554,Pain in joints of hand
M2555,Pain in hip
M2556,Pain in knee
M2557,Pain in ankle and joints of foot
M256,"Stiffness of joint, not elsewhere classified"
M2561,"Stiffness of shoulder, not elsewhere classified"
M2562,"Stiffness of elbow, not elsewhere classified"
M2563,"Stiffness of wrist, not elsewhere classified"
M2564,"Stiffness of hand, not elsewhere classified"
M2565,"Stiffness of hip, not elsewhere classified"
M2566,"Stiffness of knee, not elsewhere classified"
M2567,"Stiffness of ankle and foot, not elsewhere classified"
M257,Osteophyte
M2571,"Osteophyte, shoulder"
M2572,"Osteophyte, elbow"
M2573,"Osteophyte, wrist"
M2574,"Osteophyte, hand"
M2575,"Osteophyte, hip"
M2576,"Osteophyte, knee"
M2577,"Osteophyte, ankle and foot"
M258,Other specified joint disorders
M2581,"Other specified joint disorders, shoulder"
M2582,"Other specified joint disorders, elbow"
M2583,"Other specified joint disorders, wrist"
M2584,"Other specified joint disorders, hand"
M2585,"Other specified joint disorders, hip"
M2586,"Other specified joint disorders, knee"
M2587,"Other specified joint disorders, ankle and foot"
M26,Dentofacial anomalies [including malocclusion]
M260,Major anomalies of jaw size
M261,Anomalies of jaw-cranial base relationship
M262,Anomalies of dental arch relationship
M2621,"Malocclusion, Angle's class"
M2622,Open occlusal relationship
M263,Anomalies of tooth position of fully erupted tooth or teeth
M265,Dentofacial functional abnormalities
M266,Temporomandibular joint disorders
M2660,"Temporomandibular joint disorder, unspecified"
M2661,Adhesions and ankylosis of temporomandibular joint
M2662,Arthralgia of temporomandibular joint
M2663,Articular disc disorder of temporomandibular joint
M2664,Arthritis of temporomandibular joint
M2665,Arthropathy of temporomandibular joint
M267,Dental alveolar anomalies
M268,Other dentofacial anomalies
M27,Other diseases of jaws
M274,Other and unspecified cysts of jaw
M275,Periradicular pathology assoc w previous endodontic trtmt
M276,Endosseous dental implant failure
M30,Polyarteritis nodosa and related conditions
M31,Other necrotizing vasculopathies
M311,Thrombotic microangiopathy
M313,Wegener's granulomatosis
M32,Systemic lupus erythematosus (SLE)
M321,Systemic lupus erythematosus w organ or system involvement
M33,Dermatopolymyositis
M330,Juvenile dermatomyositis
M331,Other dermatomyositis
M332,Polymyositis
M339,"Dermatopolymyositis, unspecified"
M34,Systemic sclerosis [scleroderma]
M348,Other forms of systemic sclerosis
M35,Other systemic involvement of connective tissue
M350,Sjogren syndrome
M358,Other specified systemic involvement of connective tissue
M36,Systemic disorders of conn tiss in diseases classd elswhr
M40,Kyphosis and lordosis
M400,Postural kyphosis
M401,Other secondary kyphosis
M402,Other and unspecified kyphosis
M4020,Unspecified kyphosis
M4029,Other kyphosis
M403,Flatback syndrome
M404,Postural lordosis
M405,"Lordosis, unspecified"
M41,Scoliosis
M410,Infantile idiopathic scoliosis
M411,Juvenile and adolescent idiopathic scoliosis
M4111,Juvenile idiopathic scoliosis
M4112,Adolescent idiopathic scoliosis
M412,Other idiopathic scoliosis
M413,Thoracogenic scoliosis
M414,Neuromuscular scoliosis
M415,Other secondary scoliosis
M418,Other forms of scoliosis
M42,Spinal osteochondrosis
M420,Juvenile osteochondrosis of spine
M421,Adult osteochondrosis of spine
M43,Other deforming dorsopathies
M430,Spondylolysis
M431,Spondylolisthesis
M432,Fusion of spine
M435,Other recurrent vertebral dislocation
M435X,Other recurrent vertebral dislocation
M438,Other specified deforming dorsopathies
M438X,Other specified deforming dorsopathies
M45,Ankylosing spondylitis
M45A,Non-radiographic axial spondyloarthritis
M46,Other inflammatory spondylopathies
M460,Spinal enthesopathy
M462,Osteomyelitis of vertebra
M463,Infection of intervertebral disc (pyogenic)
M464,"Discitis, unspecified"
M465,Other infective spondylopathies
M468,Other specified inflammatory spondylopathies
M469,Unspecified inflammatory spondylopathy
M47,Spondylosis
M470,Anterior spinal and vertebral artery compression syndromes
M4701,Anterior spinal artery compression syndromes
M4702,Vertebral artery compression syndromes
M471,Other spondylosis with myelopathy
M472,Other spondylosis with radiculopathy
M478,Other spondylosis
M4781,Spondylosis without myelopathy or radiculopathy
M4789,Other spondylosis
M48,Other spondylopathies
M480,Spinal stenosis
M4806,"Spinal stenosis, lumbar region"
M481,Ankylosing hyperostosis [Forestier]
M482,Kissing spine
M483,Traumatic spondylopathy
M484,Fatigue fracture of vertebra
M4840,"Fatigue fracture of vertebra, site unspecified"
M4841,"Fatigue fracture of vertebra, occipito-atlanto-axial region"
M4842,"Fatigue fracture of vertebra, cervical region"
M4843,"Fatigue fracture of vertebra, cervicothoracic region"
M4844,"Fatigue fracture of vertebra, thoracic region"
M4845,"Fatigue fracture of vertebra, thoracolumbar region"
M4846,"Fatigue fracture of vertebra, lumbar region"
M4847,"Fatigue fracture of vertebra, lumbosacral region"
M4848,"Fatigue fracture of vertebra, sacr/sacrocygl region"
M485,"Collapsed vertebra, not elsewhere classified"
M4850,"Collapsed vertebra, not elsewhere classified, site unsp"
M4851,"Collapsed vertebra, NEC, occipito-atlanto-axial region"
M4852,"Collapsed vertebra, NEC, cervical region"
M4853,"Collapsed vertebra, NEC, cervicothoracic region"
M4854,"Collapsed vertebra, NEC, thoracic region"
M4855,"Collapsed vertebra, NEC, thoracolumbar region"
M4856,"Collapsed vertebra, not elsewhere classified, lumbar region"
M4857,"Collapsed vertebra, NEC, lumbosacral region"
M4858,"Collapsed vertebra, NEC, sacr/sacrocygl region"
M488,Other specified spondylopathies
M488X,Other specified spondylopathies
M49,Spondylopathies in diseases classified elsewhere
M498,Spondylopathy in diseases classified elsewhere
M50,Cervical disc disorders
M500,Cervical disc disorder with myelopathy
M5002,"Cervical disc disorder with myelopathy, mid-cervical region"
M501,Cervical disc disorder with radiculopathy
M5012,"Cervical disc disorder w radiculopathy, mid-cervical region"
M502,Other cervical disc displacement
M5022,"Other cervical disc displacement, mid-cervical region"
M503,Other cervical disc degeneration
M5032,"Other cervical disc degeneration, mid-cervical region"
M508,Other cervical disc disorders
M5082,"Other cervical disc disorders, mid-cervical region"
M509,"Cervical disc disorder, unspecified"
M5092,"Cervical disc disorder, unspecified, mid-cervical region"
M51,"Thoracic, thoracolum, and lumbosacral intvrt disc disorders"
M510,"Thoracic, thrclm and lumbosacr intvrt disc disord w myelpath"
M511,"Thor, thrclm & lumbosacr intvrt disc disord w radiculopathy"
M512,"Oth thoracic, thrclm and lumbosacr intvrt disc displacmnt"
M513,"Oth thoracic, thrclm and lumbosacr intvrt disc degeneration"
M5136,"Other intervertebral disc degeneration, lumbar region"
M5137,"Other intervertebral disc degeneration, lumbosacral region"
M514,Schmorl's nodes
M518,"Oth thoracic, thoracolum and lumbosacr intvrt disc disorders"
M51A,Other lumbar and lumbosacral annulus fibrosus disc defects
M53,"Other and unspecified dorsopathies, not elsewhere classified"
M532,Spinal instabilities
M532X,Spinal instabilities
M538,Other specified dorsopathies
M54,Dorsalgia
M540,Panniculitis affecting regions of neck and back
M541,Radiculopathy
M543,Sciatica
M544,Lumbago with sciatica
M545,Low back pain
M548,Other dorsalgia
M60,Myositis
M600,Infective myositis
M6000,"Infective myositis, unspecified site"
M6001,"Infective myositis, shoulder"
M6002,"Infective myositis, upper arm"
M6003,"Infective myositis, forearm"
M6004,"Infective myositis, hand and fingers"
M6005,"Infective myositis, thigh"
M6006,"Infective myositis, lower leg"
M6007,"Infective myositis, ankle, foot and toes"
M601,Interstitial myositis
M6011,"Interstitial myositis, shoulder"
M6012,"Interstitial myositis, upper arm"
M6013,"Interstitial myositis, forearm"
M6014,"Interstitial myositis, hand"
M6015,"Interstitial myositis, thigh"
M6016,"Interstitial myositis, lower leg"
M6017,"Interstitial myositis, ankle and foot"
M602,"Foreign body granuloma of soft tissue, NEC"
M6021,"Foreign body granuloma of soft tissue, NEC, shoulder"
M6022,"Foreign body granuloma of soft tissue, NEC, upper arm"
M6023,"Foreign body granuloma of soft tissue, NEC, forearm"
M6024,"Foreign body granuloma of soft tissue, NEC, hand"
M6025,"Foreign body granuloma of soft tissue, NEC, thigh"
M6026,"Foreign body granuloma of soft tissue, NEC, lower leg"
M6027,"Foreign body granuloma of soft tissue, NEC, ankle and foot"
M608,Other myositis
M6081,Other myositis shoulder
M6082,"Other myositis, upper arm"
M6083,"Other myositis, forearm"
M6084,"Other myositis, hand"
M6085,"Other myositis, thigh"
M6086,"Other myositis, lower leg"
M6087,"Other myositis, ankle and foot"
M61,Calcification and ossification of muscle
M610,Myositis ossificans traumatica
M6101,"Myositis ossificans traumatica, shoulder"
M6102,"Myositis ossificans traumatica, upper arm"
M6103,"Myositis ossificans traumatica, forearm"
M6104,"Myositis ossificans traumatica, hand"
M6105,"Myositis ossificans traumatica, thigh"
M6106,"Myositis ossificans traumatica, lower leg"
M6107,"Myositis ossificans traumatica, ankle and foot"
M611,Myositis ossificans progressiva
M6111,"Myositis ossificans progressiva, shoulder"
M6112,"Myositis ossificans progressiva, upper arm"
M6113,"Myositis ossificans progressiva, forearm"
M6114,"Myositis ossificans progressiva, hand and finger(s)"
M6115,"Myositis ossificans progressiva, thigh"
M6116,"Myositis ossificans progressiva, lower leg"
M6117,"Myositis ossificans progressiva, ankle, foot and toe(s)"
M612,Paralytic calcification and ossification of muscle
M6121,"Paralytic calcification and ossification of muscle, shoulder"
M6122,"Paralytic calcifcn and ossification of muscle, upper arm"
M6123,"Paralytic calcification and ossification of muscle, forearm"
M6124,"Paralytic calcification and ossification of muscle, hand"
M6125,"Paralytic calcification and ossification of muscle, thigh"
M6126,"Paralytic calcifcn and ossification of muscle, lower leg"
M6127,"Paralytic calcification and ossification of muscle, ank/ft"
M613,Calcification and ossification of muscles associated w burns
M6131,"Calcifcn and ossifictn of muscles assoc w burns, shoulder"
M6132,"Calcifcn and ossifictn of muscles assoc w burns, upper arm"
M6133,"Calcifcn and ossifictn of muscles assoc w burns, forearm"
M6134,"Calcifcn and ossifictn of muscles associated w burns, hand"
M6135,"Calcifcn and ossifictn of muscles associated w burns, thigh"
M6136,"Calcifcn and ossifictn of muscles assoc w burns, lower leg"
M6137,"Calcifcn and ossifictn of muscles associated w burns, ank/ft"
M614,Other calcification of muscle
M6141,"Other calcification of muscle, shoulder"
M6142,"Other calcification of muscle, upper arm"
M6143,"Other calcification of muscle, forearm"
M6144,"Other calcification of muscle, hand"
M6145,"Other calcification of muscle, thigh"
M6146,"Other calcification of muscle, lower leg"
M6147,"Other calcification of muscle, ankle and foot"
M615,Other ossification of muscle
M6151,"Other ossification of muscle, shoulder"
M6152,"Other ossification of muscle, upper arm"
M6153,"Other ossification of muscle, forearm"
M6154,"Other ossification of muscle, hand"
M6155,"Other ossification of muscle, thigh"
M6156,"Other ossification of muscle, lower leg"
M6157,"Other ossification of muscle, ankle and foot"
M62,Other disorders of muscle
M620,Separation of muscle (nontraumatic)
M6201,"Separation of muscle (nontraumatic), shoulder"
M6202,"Separation of muscle (nontraumatic), upper arm"
M6203,"Separation of muscle (nontraumatic), forearm"
M6204,"Separation of muscle (nontraumatic), hand"
M6205,"Separation of muscle (nontraumatic), thigh"
M6206,"Separation of muscle (nontraumatic), lower leg"
M6207,"Separation of muscle (nontraumatic), ankle and foot"
M621,Other rupture of muscle (nontraumatic)
